Название объекта,Проблемы
Переговорная Тель Авив,Проблемы с оборудование;Проблемы с подключением к ВКС;Проблемы с интернетом;Нет питьевой воды;Необходима уборка;Проблемы с мебелью
Переговорная Алматы,Проблемы с оборудование;Проблемы с подключением к ВКС;Проблемы с интернетом;Нет питьевой воды;Необходима уборка;Проблемы с мебелью
Переговорная Санкт-Петербург,Проблемы с оборудование;Проблемы с подключением к ВКС;Проблемы с интернетом;Нет питьевой воды;Необходима уборка;Проблемы с мебелью
Кабинет Лихницкого,Проблемы с оборудование;Проблемы с подключением к ВКС;Проблемы с интернетом;Нет питьевой воды;Необходима уборка;Проблемы с мебелью
Кабинет Гиацинтова,Проблемы с оборудование;Проблемы с подключением к ВКС;Проблемы с интернетом;Нет питьевой воды;Необходима уборка;Проблемы с мебелью
Кабинет Косилова,Проблемы с оборудование;Проблемы с подключением к ВКС;Проблемы с интернетом;Нет питьевой воды;Необходима уборка;Проблемы с мебелью
Кабинет Нечипоренко,Проблемы с оборудование;Проблемы с подключением к ВКС;Проблемы с интернетом;Нет питьевой воды;Необходима уборка;Проблемы с мебелью
Кабинет Финка,Проблемы с оборудование;Проблемы с подключением к ВКС;Проблемы с интернетом;Нет питьевой воды;Необходима уборка;Проблемы с мебелью
Кухня "Женская" 2го этажа,Проблемы с монитором;Проблемы с интернетом;Проблемы с кулером;Необходима уборка;Проблемы с мебелью
Кухня "Мужская" 2го этажа,Проблемы с монитором;Проблемы с интернетом;Проблемы с кулером;Необходима уборка;Проблемы с мебелью
Кухня 3го этажа,Проблемы с монитором;Проблемы с интернетом;Проблемы с кулером;Необходима уборка;Проблемы с мебелью
Туалет мужской на 2ом этаже,Необходима уборка;Нет бумаги/мыла;Проблемы с мебелью
Туалет женский на 2ом этаже,Необходима уборка;Нет бумаги/мыла;Проблемы с мебелью
Туалет мужской на 3ем этаже,Необходима уборка;Нет бумаги/мыла;Проблемы с мебелью
Туалет женский на 3ем этаже,Необходима уборка;Нет бумаги/мыла;Проблемы с мебелью
Принтер Reception,Закончился картридж;Замяло бумагу;Не работает принтер;Подключиться к принтеру
Принтер в Sales,Закончился картридж;Замяло бумагу;Не работает принтер;Подключиться к принтеру
Принтер в бухгалтерии,Закончился картридж;Замяло бумагу;Не работает принтер;Подключиться к принтеру
Принтер у HR,Закончился картридж;Замяло бумагу;Не работает принтер;Подключиться к принтеру
Принтер в Back office,Закончился картридж;Замяло бумагу;Не работает принтер;Подключиться к принтеру
Кофе-машина на "женской" кухне 2го этажа,Нет воды;Нет молока;Нет зерен;Не работает
Кофе-машина на "мужской" кухне 2го этажа,Нет воды;Нет молока;Нет зерен;Не работает
Кофе-машина на кухне 3го этажа,Нет воды;Нет молока;Нет зерен;Не работает
